split,group_column,group_value,row_count,mae,rmse,mean_error,median_absolute_error,p90_absolute_error,total_error_contribution
test,Location,UNION STATION,129,5.76187707426012,7.670069248234476,1.3514628294826478,5.092338562011719,9.885850143432618,743.2821425795555
test,Location,STEELES LOOP,172,4.270630535344745,5.794818563574393,0.957170897791552,3.0656628608703613,8.85279359817505,734.5484520792961
test,Location,OLD MILL STATION,145,4.540733028280324,5.875769304251143,-1.6180892286629511,3.21866512298584,9.888427925109863,658.406289100647
test,Location,YONGE AND STEELES,135,4.702907322512733,8.693320485035509,-0.2035760274639836,2.5728201866149902,10.16317071914673,634.8924885392189
test,Location,MALVERN GARAGE,127,4.787508062490328,6.676214626065773,-1.872475001286334,3.449294090270996,11.04384994506836,608.0135239362717
test,Location,KINGSTON ROAD LOOP,112,5.384057776337223,7.084873216530331,1.4284282019361854,4.8189826011657715,8.933968830108645,603.014470949769
test,Location,DUFFERIN AND LAWRENCE,191,3.028146176438057,5.152045519284081,-0.47597923391152436,1.3790545463562012,8.128604888916016,578.3759196996689
test,Location,MORNINGSIDE AND PASSMO,122,4.415496122641642,5.476536445033656,1.3189981022819144,4.019826412200929,8.153527450561525,538.6905269622803
test,Location,ELLESMERE AND MARKHAM,143,3.7463020119633708,6.0662242798196635,0.47215148869094314,2.5610761642456037,6.981743049621581,535.721187710762
test,Location,DUFFERIN GATE LOOP,146,3.47465669618894,6.290231650551228,-1.800626228933465,1.675093650817871,8.588783979415894,507.2998776435852
test,Location,QUEENSWAY GARAGE,126,3.9672088749588483,5.973004411534812,-0.23920110069097023,2.07568621635437,11.275645732879639,499.8683182448149
test,Location,SCARBOROUGH TOWN CENTR,116,4.190122749961527,6.703391761500612,-0.7844796629526235,2.697690963745118,8.138500213623047,486.05423899553716
test,Location,MEADOWVALE LOOP,107,4.084850772518978,6.214711408158583,-1.7855028816472704,2.8813962936401367,8.078066825866705,437.07903265953064
test,Location,LESLIE BARNS,122,3.5568506235226254,5.3112665269042685,0.14825399452057042,2.351628303527832,7.798641967773437,433.9357760697603
test,Location,HUMBERWOOD LOOP,115,3.613473688001218,8.905779681144883,-1.550992456726406,1.2737503051757812,9.351844882965095,415.5494741201401
