split,threshold_minutes,group_column,group_value,row_count,actual_severe_delay_rate,mean_predicted_severe_delay_probability,probability_calibration_gap,false_negative_rate
test,30,Location,DAVISVILLE STATION,127,0.14960629921259844,0.11339826977401089,-0.036208029438587544,0.6842105263157895
test,30,Location,JANE AND WILSON,131,0.1450381679389313,0.1495355475331365,0.004497379594205209,0.0
test,30,Location,QUEEN AND RONCESVALLES,112,0.14285714285714285,0.07397943037878053,-0.06887771247836232,0.4375
test,30,Location,MARKHAM AND SHEPPARD,125,0.128,0.08374449373222885,-0.04425550626777115,0.8125
test,30,Location,FRONT AND BAY,153,0.12418300653594772,0.2604038181480361,0.13622081161208838,0.10526315789473684
test,30,Location,SHEPPARD WEST STATION,385,0.11688311688311688,0.11777666151801773,0.0008935446349008502,0.24444444444444444
test,30,Location,LAWRENCE WEST STATION,183,0.11475409836065574,0.11113985783873438,-0.003614240521921358,0.19047619047619047
test,30,Location,SPRINGHURST LOOP,114,0.10526315789473684,0.09006819840144821,-0.015194959493288626,0.4166666666666667
test,30,Location,DON MILLS STATION,477,0.10062893081761007,0.10177550882792226,0.0011465780103121909,0.125
test,30,Location,SCARBOROUGH CENTRE STATION,565,0.09911504424778761,0.10274375321434195,0.003628708966554345,0.17857142857142858
test,30,Location,YORK MILLS STATION,532,0.09586466165413533,0.11690840172043934,0.02104374006630401,0.1568627450980392
test,30,Location,EGLINTON WEST STATION,482,0.0954356846473029,0.08958839771581262,-0.005847286931490281,0.1956521739130435
test,30,Location,ISLINGTON STATION,263,0.09505703422053231,0.09158649655703464,-0.0034705376634976692,0.32
test,30,Location,LAWRENCE AND JANE,150,0.09333333333333334,0.07854842656912898,-0.014784906764204353,0.35714285714285715
test,30,Location,WILSON STATION,891,0.0931537598204265,0.11601776124279228,0.02286400142236579,0.24096385542168675
test,30,Location,EXHIBITION LOOP,204,0.09313725490196079,0.13400354865577763,0.04086629375381684,0.15789473684210525
test,30,Location,DUNDAS WEST STATION,478,0.09205020920502092,0.1005094643900459,0.00845925518502498,0.5909090909090909
test,30,Location,WILSON AND JANE,126,0.0873015873015873,0.13141495258998245,0.04411336528839516,0.0
test,30,Location,BATHURST AND WILSON,143,0.08391608391608392,0.07577553094963871,-0.008140552966445211,0.16666666666666666
test,30,Location,RENFORTH STATION,158,0.08227848101265822,0.06433634578156033,-0.01794213523109789,0.3076923076923077
test,30,Location,WOLSELEY LOOP,154,0.07792207792207792,0.05124482780229295,-0.026677250119784973,0.6666666666666666
test,30,Location,WILSON GARAGE,155,0.07741935483870968,0.12537188361579127,0.04795252877708159,0.25
test,30,Location,QUEEN AND LESLIE,168,0.07738095238095238,0.16982522131764285,0.09244426893669047,0.38461538461538464
test,30,Location,HUMBER LOOP,195,0.07692307692307693,0.06707722456433257,-0.009845852358744356,0.7333333333333333
test,30,Location,MEADOWVALE LOOP,107,0.07476635514018691,0.06292983846277621,-0.011836516677410702,0.5
test,30,Location,VICTORIA PARK STATION,343,0.0728862973760933,0.03953689413821271,-0.03334940323788059,0.96
test,30,Location,PEARSON AIRPORT TERMIN,101,0.06930693069306931,0.08378222798882509,0.014475297295755779,0.42857142857142855
test,30,Location,SCARBOROUGH TOWN CENTR,116,0.06896551724137931,0.08826014702609769,0.01929462978471838,0.0
