split,mae,rmse,r2,mean_error,median_absolute_error,p90_absolute_error,p95_absolute_error,row_count
validation,7.396623957149511,17.45824318894663,0.2582150944636612,-3.2879727742543032,3.045792579650879,15.047721099853515,24.833276319503778,70063
test,7.876402329710832,18.65245158157398,0.2630233136756407,-3.2130055301248017,3.386561393737793,15.407927036285399,25.722073817253094,73134
