split,threshold_minutes,selected_probability_cutoff,positive_rate,roc_auc,pr_auc,log_loss,brier_score,precision,recall,f1,accuracy,true_positives,false_positives,true_negatives,false_negatives,row_count
validation,30,0.7,0.1027789275366456,0.8966549434054571,0.5406887524343176,0.48825289573302166,0.1529092491453152,0.4285030704202887,0.7461463685599222,0.5443768996960486,0.8716298188772962,5373,7166,55696,1828,70063
test,30,0.7,0.1011841277654716,0.8886367846990204,0.5184975879751089,0.5208775291775342,0.16455942239176327,0.4051515373890071,0.7460810810810811,0.5251343510724307,0.8634697951705089,5521,8106,57628,1879,73134
validation,60,0.9,0.030344118864450566,0.9466619446041751,0.38844826931352805,0.3316597431093761,0.08921362559058461,0.340390203403902,0.7714016933207902,0.47235023041474655,0.9477042090689808,1640,3178,64759,486,70063
test,60,0.9,0.03276177974676621,0.9499989491896808,0.42000077287024407,0.3391462701460003,0.09014802847471438,0.3513034225926583,0.8267946577629383,0.4930927193528314,0.9443077091366533,1981,3658,67080,415,73134
